,idx,seed,dataset,accuracy_fp32,accuracy_esp,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,total_memory
0,0,999,cifar10,85.81,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0
1,291,999,cifar10,90.43,89.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,543892.0,256.0,1310076.0,1390227.0
2,492,999,cifar10,92.07,91.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,771652.0,256.0,1537836.0,1617987.0
3,1022,999,cifar10,90.9,90.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,596516.0,256.0,1362700.0,1442851.0
4,100,999,cifar10,92.17,91.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,1035652.0,256.0,1801836.0,1881987.0
5,1034,999,cifar10,92.26,92.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,898916.0,256.0,1665100.0,1745251.0
6,1010,999,cifar10,92.76,92.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,1058132.0,256.0,1824316.0,1904467.0
7,0,777,cifar10,85.62,51.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0
8,291,777,cifar10,90.01,88.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,539588.0,256.0,1305772.0,1385923.0
9,492,777,cifar10,92.43,92.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,771652.0,256.0,1537836.0,1617987.0
10,1022,777,cifar10,91.27,90.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,596516.0,256.0,1362700.0,1442851.0
11,0,888,cifar10,86.18,61.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0
12,291,888,cifar10,89.9,88.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,540308.0,256.0,1306492.0,1386643.0
13,100,777,cifar10,92.19,91.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,1035652.0,256.0,1801836.0,1881987.0
14,1034,777,cifar10,92.65,92.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,898916.0,256.0,1665100.0,1745251.0
15,1010,777,cifar10,92.65,92.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,1058132.0,256.0,1824316.0,1904467.0
16,492,888,cifar10,92.2,92.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,772356.0,256.0,1538540.0,1618691.0
17,1022,888,cifar10,91.26,90.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,596516.0,256.0,1362700.0,1442851.0
18,381,777,cifar10,91.87,91.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,880980.0,256.0,1647164.0,1727315.0
19,281,999,cifar10,92.56,81.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,885156.0,256.0,1651340.0,1731491.0
20,100,888,cifar10,92.02,91.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,1035652.0,256.0,1801836.0,1881987.0
21,1034,888,cifar10,92.56,92.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,898916.0,256.0,1665100.0,1745251.0
22,1010,888,cifar10,92.91,92.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,1058132.0,256.0,1824316.0,1904467.0
23,401,999,cifar10,88.88,78.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,520868.0,256.0,1287052.0,1367203.0
24,1000,999,cifar10,93.58,93.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,808260.0,256.0,1574444.0,1654595.0
25,910,999,cifar10,93.13,92.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,1045668.0,256.0,1811852.0,1892003.0
26,1023,999,cifar10,92.56,59.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,1094420.0,256.0,1860604.0,1940755.0
27,271,999,cifar10,85.44,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,533860.0,256.0,1300044.0,1380195.0
28,101,999,cifar10,87.98,87.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,521268.0,256.0,1287452.0,1367603.0
29,381,888,cifar10,91.0,90.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,880980.0,256.0,1647164.0,1727315.0
30,1035,999,cifar10,92.72,92.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.244168422284644,258313.0,765928.0,576052.0,256.0,1342236.0,1422387.0
