idx,seed,dataset,accuracy_fp32,accuracy_esp,key,espdl_size_bytes,torch_size_bytes
5380,888,cifar10,91.93,91.89,200,699456,2711531
6027,888,cifar10,91.39,90.87,200,446336,1645821
5570,888,cifar10,91.92,91.51,200,774048,3183310
5971,888,cifar10,89.91,58.46,200,710064,2729733
5317,888,cifar10,81.42,72.37,200,286208,1033247
6272,888,cifar10,86.28,84.1,200,259648,791357
6248,888,cifar10,89.16,86.64,200,278752,1009349
5448,888,cifar10,91.81,91.25,200,715712,2729413
6365,888,cifar10,87.93,87.61,200,240816,761315
5760,888,cifar10,89.87,89.23,200,449360,1663831
4749,888,cifar10,90.46,88.77,200,675328,2722622
5727,888,cifar10,73.58,23.82,200,424816,1656720
6116,888,cifar10,92.96,92.18,200,744720,3158452
6282,888,cifar10,92.51,92.48,200,525264,2050457
5490,888,cifar10,90.44,89.97,200,271728,960017
5193,888,cifar10,86.75,72.41,200,425344,1656848
5355,888,cifar10,90.79,88.31,200,453104,1621347
5913,888,cifar10,86.54,43.86,200,538736,2057049
6168,888,cifar10,92.37,92.11,200,772720,3158324
5538,888,cifar10,74.72,60.59,200,186848,580172
5595,888,cifar10,79.94,20.36,200,413440,1607644
6061,888,cifar10,92.78,92.75,200,532432,2050393
5749,888,cifar10,93.82,93.65,200,949712,3994074
6007,888,cifar10,91.82,91.26,200,705472,2711595
4725,888,cifar10,90.03,83.54,200,461408,1663831
6293,888,cifar10,92.01,91.61,200,545088,2056217
4704,888,cifar10,85.82,83.92,200,501328,1858155
5414,888,cifar10,91.18,89.56,200,493104,1844843
5687,888,cifar10,89.37,88.88,200,221488,754595
5404,888,cifar10,92.5,52.85,200,802512,3146721
5436,888,cifar10,92.98,93.07,200,963312,3794931
5522,888,cifar10,90.93,90.06,200,295152,1232390
5237,888,cifar10,86.9,16.27,200,473760,1663703
6072,888,cifar10,90.26,78.98,200,480960,1886808
5560,888,cifar10,91.34,90.85,200,565296,2063577
4772,888,cifar10,86.76,82.78,200,217440,828081
5285,888,cifar10,87.04,10.0,200,257744,1002302
5250,888,cifar10,92.88,92.79,200,484016,1820241
5823,888,cifar10,93.9,93.89,200,733952,2910361
5148,888,cifar10,86.65,35.85,200,226272,785789
5467,888,cifar10,91.97,91.97,200,705216,2710827
5813,888,cifar10,89.13,83.2,200,578656,2081331
5707,888,cifar10,91.12,90.15,200,695136,2705067
6328,888,cifar10,90.43,87.86,200,325008,1213363
6213,888,cifar10,89.66,87.75,200,341776,1239437
5672,888,cifar10,85.35,19.69,200,465104,1688305
6136,888,cifar10,86.37,86.04,200,530608,2057113
6376,888,cifar10,82.44,78.13,200,241648,784893
5782,888,cifar10,80.51,74.39,200,478048,1851627
5120,888,cifar10,93.46,93.12,200,764592,2934771
5836,888,cifar10,93.05,48.09,200,1478016,5951657
5013,888,cifar10,88.84,9.47,200,305648,1015941
6421,888,cifar10,91.52,91.56,200,708560,2693905
5218,888,cifar10,87.14,65.55,200,450432,1862462
4783,888,cifar10,89.97,89.45,200,435312,1639229
6304,888,cifar10,93.93,93.84,200,963264,3994202
6341,888,cifar10,92.44,92.37,200,745488,2916057
6017,888,cifar10,90.6,84.48,200,706384,2752991
6201,888,cifar10,54.12,10.0,200,161440,541995
5637,888,cifar10,89.33,89.16,200,222400,736521
6107,888,cifar10,89.0,75.76,200,393920,1427361
5135,888,cifar10,80.6,7.72,200,336560,1221427
6050,888,cifar10,91.17,90.82,200,743664,2941299
4694,888,cifar10,91.55,90.32,200,933008,3788140
5183,888,cifar10,92.39,92.34,200,728352,2952710
6083,888,cifar10,75.89,19.65,200,441168,1633827
5607,888,cifar10,83.32,73.98,200,266320,1033375
5869,888,cifar10,75.42,64.39,200,174976,531160
5504,888,cifar10,75.12,66.01,200,151648,586828
5628,888,cifar10,10.0,10.0,200,273472,973457
6237,888,cifar10,87.14,84.56,200,937392,3837600
5960,888,cifar10,90.79,89.23,200,744896,2934899
6454,888,cifar10,78.9,55.46,200,249888,803543
6315,888,cifar10,92.04,91.76,200,1017104,4001249
5204,888,cifar10,93.08,92.76,200,753232,3133978
5890,888,cifar10,89.16,85.54,200,236080,761187
6397,888,cifar10,92.35,92.19,200,540480,2057177
5802,888,cifar10,10.0,10.0,200,694704,2693905
5697,888,cifar10,92.04,25.12,200,753584,2917337
6442,888,cifar10,67.11,10.2,200,719872,2736261
6431,888,cifar10,93.18,13.71,200,802752,3146721
6190,888,cifar10,87.53,86.0,200,277088,966609
5737,888,cifar10,87.17,78.83,200,451840,1862462
5460,888,cifar10,72.59,10.0,200,427216,1656592
5652,888,cifar10,93.18,92.78,200,983184,3794739
5858,888,cifar10,91.39,91.26,200,583696,2304507
5772,888,cifar10,91.85,21.39,200,728384,2711915
5449,888,cifar10,83.56,73.94,200,226320,802583
5717,888,cifar10,88.28,78.14,200,688160,2697764
6225,888,cifar10,92.49,92.38,200,820208,3371049
5586,888,cifar10,91.23,91.41,200,487280,1827025
5994,888,cifar10,86.16,81.05,200,455184,1862334
6093,888,cifar10,92.33,91.28,200,525248,2073587
6557,888,cifar10,61.48,30.72,200,150928,517521
5901,888,cifar10,88.08,85.77,200,457872,1651581
4715,888,cifar10,86.91,76.63,200,514720,1876165
5318,888,cifar10,91.7,90.65,200,535680,1876101
6148,888,cifar10,91.09,91.12,200,727120,2917017
5550,888,cifar10,88.73,10.01,200,504352,1876101
5163,888,cifar10,86.16,14.37,200,421696,1621347
6478,888,cifar10,10.0,10.0,200,224400,767907
4760,888,cifar10,92.38,92.2,200,556240,2298036
5111,888,cifar10,94.44,94.05,200,793520,3363746
5079,888,cifar10,89.58,88.77,200,397248,1427297
6535,888,cifar10,88.99,86.81,200,308160,1232646
6489,888,cifar10,93.7,93.28,200,749600,3133658
6169,888,cifar10,82.1,65.02,200,484288,1893791
6062,888,cifar10,86.92,80.28,200,490144,1869253
6408,888,cifar10,92.13,91.52,200,732896,2953030
5792,888,cifar10,90.59,84.97,200,710576,2952454
5238,888,cifar10,89.89,89.46,200,259152,966801
6117,888,cifar10,92.88,92.62,200,587776,2528828
6028,888,cifar10,92.11,91.01,200,781328,3183246
5491,888,cifar10,91.65,91.53,200,443904,1614755
5262,888,cifar10,93.15,93.12,200,1198352,4861217
6501,888,cifar10,90.74,84.4,200,519456,2117472
4736,888,cifar10,86.94,84.92,200,313616,1221107
6249,888,cifar10,72.53,21.78,200,292336,1009157
6366,888,cifar10,10.0,10.0,200,690496,2700305
6128,888,cifar10,91.1,89.72,200,491472,1844779
6214,888,cifar10,79.6,22.17,200,207232,772150
6137,888,cifar10,85.42,83.08,200,683904,2747160
5972,888,cifar10,88.3,87.91,200,317120,1214515
5879,888,cifar10,91.45,90.86,200,550752,2099725
6525,888,cifar10,92.04,50.89,200,1013488,4025787
6512,888,cifar10,92.71,92.51,200,996336,4043342
6191,888,cifar10,69.45,27.67,200,180688,586828
5837,888,cifar10,90.33,73.81,200,709664,2711787
5849,888,cifar10,88.72,88.48,200,243920,761315
5571,888,cifar10,92.06,91.52,200,553040,2074931
5783,888,cifar10,91.94,17.01,200,774928,3140641
5514,888,cifar10,90.54,88.59,200,717440,2753759
4750,888,cifar10,92.5,92.32,200,747376,2910617
6180,888,cifar10,92.96,92.33,200,749504,2934707
5662,888,cifar10,89.69,43.42,200,743056,2952710
4705,888,cifar10,89.01,84.45,200,314704,1214515
6422,888,cifar10,92.88,92.85,200,765296,2935091
6238,888,cifar10,85.06,82.48,200,449664,1639293
5089,888,cifar10,92.78,91.79,200,745376,3158388
6294,888,cifar10,90.16,90.04,200,319504,1214515
6580,888,cifar10,91.43,91.28,200,489408,1826897
5814,888,cifar10,92.49,92.51,200,473376,1825937
5638,888,cifar10,88.79,86.98,200,235232,754595
6159,888,cifar10,89.18,88.77,200,241712,767907
6261,888,cifar10,92.36,92.11,200,493552,1833745
6455,888,cifar10,90.78,88.9,200,485648,1868421
5689,888,cifar10,92.42,92.12,200,500592,2068012
6283,888,cifar10,90.65,23.08,200,564160,2081715
5523,888,cifar10,79.87,15.31,200,441792,1663703
6590,888,cifar10,92.19,91.97,200,484000,1820177
5219,888,cifar10,91.73,91.74,200,449008,1621475
6018,888,cifar10,87.61,76.89,200,431872,1614755
6084,888,cifar10,77.52,19.26,200,413392,1607708
5149,888,cifar10,91.96,91.77,200,485584,1844843
6051,888,cifar10,92.83,91.78,200,745440,3158388
6273,888,cifar10,92.89,10.88,200,617824,2510825
6202,888,cifar10,90.24,49.87,200,743792,2952902
6008,888,cifar10,91.59,90.25,200,724976,2928108
5468,888,cifar10,88.67,85.33,200,455424,1663703
6490,888,cifar10,86.32,23.2,200,202992,743113
5938,888,cifar10,91.99,91.92,200,827440,3147617
5728,888,cifar10,91.94,90.71,200,767392,2940403
5184,888,cifar10,92.46,92.18,200,481248,1820241
6330,888,cifar10,94.02,93.75,200,730400,2909657
