idx,seed,dataset,acc,esp_acc
576,777,cifar10,88.50,85.88
379,888,cifar10,87.19,84.66
457,777,cifar10,88.33,54.34
1378,777,cifar10,91.56,91.22
446,777,cifar10,92.75,92.40
1366,777,cifar10,91.93,91.89
1322,777,cifar10,92.54,91.92
324,777,cifar10,82.77,10.12
400,777,cifar10,92.06,91.53
504,777,cifar10,90.17,88.32
999,777,cifar10,91.28,90.17
1073,777,cifar10,92.42,92.25
228,777,cifar10,92.60,91.96
31,777,cifar10,90.88,89.53
989,777,cifar10,86.43,28.28
1137,777,cifar10,90.20,88.71
644,777,cifar10,91.65,91.36
113,888,cifar10,87.09,71.13
819,777,cifar10,91.24,90.87
1059,777,cifar10,92.98,92.82
967,777,cifar10,88.06,17.05
752,888,cifar10,92.70,15.45
1159,777,cifar10,87.48,57.41
698,888,cifar10,92.55,91.86
434,777,cifar10,86.96,76.92
1184,888,cifar10,70.09,16.29
1206,888,cifar10,87.12,61.75
541,777,cifar10,93.67,93.57
921,777,cifar10,92.62,92.44
1241,777,cifar10,89.47,37.15
979,777,cifar10,91.22,90.99
270,777,cifar10,88.44,85.66
842,888,cifar10,92.25,91.87
1308,888,cifar10,80.41,36.87
390,888,cifar10,75.57,63.03
620,888,cifar10,75.71,62.05
774,888,cifar10,91.49,90.28
20,777,cifar10,90.10,73.04
169,777,cifar10,88.82,84.52
1427,777,cifar10,91.29,89.66
56,777,cifar10,93.48,93.24
1286,777,cifar10,89.04,86.24
516,777,cifar10,86.85,72.40
249,777,cifar10,91.91,91.75
336,777,cifar10,91.04,89.77
1105,777,cifar10,93.30,93.22
1084,777,cifar10,93.45,93.25
943,777,cifar10,86.86,9.99
313,888,cifar10,75.74,63.43
280,888,cifar10,79.57,33.54
0,888,cifar10,86.18,61.69
889,777,cifar10,91.17,89.72
369,888,cifar10,90.70,89.52
77,777,cifar10,93.46,93.21
665,888,cifar10,91.76,91.59
291,888,cifar10,89.90,88.38
100,777,cifar10,92.19,91.40
529,888,cifar10,90.03,35.20
469,777,cifar10,91.74,90.83
1345,777,cifar10,91.51,90.29
830,888,cifar10,78.91,42.84
1254,777,cifar10,90.96,90.20
1116,888,cifar10,75.27,26.89
1046,777,cifar10,93.30,93.14
1266,888,cifar10,79.96,29.45
956,888,cifar10,89.09,88.62
687,888,cifar10,85.49,75.09
1034,777,cifar10,92.65,92.55
124,888,cifar10,92.12,92.00
205,888,cifar10,92.03,91.82
184,777,cifar10,91.65,91.04
708,888,cifar10,92.84,92.86
1010,777,cifar10,92.65,92.49
10,777,cifar10,10.00,10.00
44,888,cifar10,79.06,66.00
1126,777,cifar10,91.50,89.47
1389,777,cifar10,90.91,88.88
481,888,cifar10,86.71,58.61
158,777,cifar10,92.68,91.29
797,888,cifar10,93.08,92.91
238,777,cifar10,92.26,91.12
586,777,cifar10,92.58,92.46
195,888,cifar10,89.92,89.74
609,777,cifar10,93.08,93.01
720,888,cifar10,91.79,23.29
67,777,cifar10,93.48,93.15
876,888,cifar10,80.33,60.37
1220,888,cifar10,92.04,91.89
1276,888,cifar10,80.13,45.14
421,888,cifar10,91.54,91.41
1230,888,cifar10,78.87,50.45
1334,888,cifar10,89.25,85.81
564,888,cifar10,87.28,69.04
147,777,cifar10,93.08,92.28
88,888,cifar10,88.59,9.74
411,777,cifar10,92.98,92.65
492,888,cifar10,92.20,92.01
655,777,cifar10,94.12,94.00
864,888,cifar10,86.96,84.34
852,777,cifar10,93.06,93.03
1411,888,cifar10,79.83,12.01
1173,777,cifar10,92.44,91.66
786,888,cifar10,88.61,77.98
675,888,cifar10,65.70,16.21
808,777,cifar10,92.79,92.36
932,999,cifar10,91.90,91.18
1095,888,cifar10,90.10,88.87
753,777,cifar10,84.58,83.90
633,888,cifar10,86.70,10.00
1149,777,cifar10,93.09,92.83
218,888,cifar10,91.33,90.80
1195,777,cifar10,93.22,92.98
732,888,cifar10,93.52,93.29
1355,888,cifar10,86.56,60.08
259,888,cifar10,89.15,86.01
899,888,cifar10,75.52,64.40
764,777,cifar10,76.00,12.85
302,888,cifar10,83.54,45.31
552,888,cifar10,10.00,10.00
909,888,cifar10,90.04,87.80
134,888,cifar10,90.31,87.37
1297,999,cifar10,92.43,91.40
832,999,cifar10,52.18,11.45
1401,888,cifar10,84.62,80.79
357,888,cifar10,87.02,76.52
597,888,cifar10,91.29,90.76
1309,999,cifar10,86.36,28.84
1022,888,cifar10,91.26,90.81
957,999,cifar10,67.41,24.67
346,888,cifar10,88.88,88.61
1207,999,cifar10,91.92,13.41
576,888,cifar10,87.58,68.18
1378,888,cifar10,91.43,91.29
742,888,cifar10,92.34,92.26
457,888,cifar10,87.76,64.91
446,888,cifar10,93.09,92.53
206,999,cifar10,91.87,91.84
1366,888,cifar10,91.83,92.07
1322,888,cifar10,92.28,92.14
400,888,cifar10,92.28,92.22
324,888,cifar10,82.48,10.00
504,888,cifar10,90.22,88.01
999,888,cifar10,91.46,90.07
1073,888,cifar10,93.00,92.72
228,888,cifar10,92.38,91.77
31,888,cifar10,91.05,89.19
989,888,cifar10,85.28,47.03
1137,888,cifar10,90.28,88.41
777,777,cifar10,86.62,86.51
644,888,cifar10,91.90,91.38
114,999,cifar10,90.41,90.15
45,999,cifar10,89.67,89.25
819,888,cifar10,91.02,89.99
1059,888,cifar10,93.40,93.25
1159,888,cifar10,87.53,71.40
967,888,cifar10,88.68,9.67
1221,999,cifar10,58.49,10.00
921,888,cifar10,92.62,92.60
434,888,cifar10,86.85,70.77
541,888,cifar10,93.73,93.63
1241,888,cifar10,89.85,29.93
381,777,cifar10,91.87,91.77
979,888,cifar10,90.95,91.09
270,888,cifar10,87.96,85.33
370,777,cifar10,91.76,91.51
125,999,cifar10,89.70,88.56
699,777,cifar10,93.62,93.56
314,999,cifar10,91.93,78.25
20,888,cifar10,89.97,67.78
1185,999,cifar10,91.39,9.99
621,999,cifar10,91.60,90.58
56,888,cifar10,93.21,93.03
1427,888,cifar10,91.45,88.20
1231,999,cifar10,73.06,35.76
530,999,cifar10,72.90,20.34
753,888,cifar10,84.15,83.25
169,888,cifar10,88.46,84.57
1286,888,cifar10,88.49,84.60
709,777,cifar10,89.67,20.50
516,888,cifar10,85.97,73.68
249,888,cifar10,92.43,92.22
336,888,cifar10,91.10,88.39
879,999,cifar10,10.00,10.00
1105,888,cifar10,93.14,93.10
1084,888,cifar10,93.53,93.43
889,888,cifar10,91.21,90.09
943,888,cifar10,86.60,10.00
493,999,cifar10,90.20,89.42
77,888,cifar10,93.08,92.83
1117,999,cifar10,89.18,14.04
832,777,cifar10,51.49,11.71
1,999,cifar10,93.61,93.01
196,999,cifar10,86.89,86.53
799,999,cifar10,83.36,14.10
260,999,cifar10,86.04,58.18
281,999,cifar10,92.56,81.96
292,999,cifar10,91.25,89.81
100,888,cifar10,92.02,91.65
482,999,cifar10,87.70,86.35
89,999,cifar10,92.01,91.76
1412,999,cifar10,84.06,64.70
957,777,cifar10,68.70,24.13
843,999,cifar10,91.49,91.04
391,999,cifar10,92.05,91.76
1345,888,cifar10,91.79,90.20
1267,999,cifar10,92.96,92.77
865,999,cifar10,89.41,82.16
469,888,cifar10,92.42,90.92
666,999,cifar10,92.08,45.63
1254,888,cifar10,90.99,90.27
423,999,cifar10,85.26,62.85
1046,888,cifar10,93.11,93.12
932,777,cifar10,91.97,91.66
721,777,cifar10,92.44,92.22
206,777,cifar10,91.97,91.74
1034,888,cifar10,92.56,92.15
184,888,cifar10,91.54,90.87
688,999,cifar10,93.22,93.16
565,999,cifar10,90.97,89.82
219,999,cifar10,93.10,93.18
634,999,cifar10,88.20,82.86
900,999,cifar10,87.90,24.22
1096,999,cifar10,92.32,39.22
1010,888,cifar10,92.91,92.60
10,888,cifar10,10.00,10.00
787,999,cifar10,92.19,91.70
676,999,cifar10,84.97,80.86
1309,777,cifar10,86.25,46.25
1126,888,cifar10,90.99,89.35
1389,888,cifar10,91.05,89.19
303,999,cifar10,89.88,88.95
158,888,cifar10,92.74,91.94
