idx,seed,dataset,acc,esp_acc
3027,888,cifar10,89.75,27.57
3351,777,cifar10,10.00,10.00
2967,888,cifar10,92.91,92.93
3751,777,cifar10,92.45,92.21
4022,888,cifar10,75.66,14.84
3762,888,cifar10,92.20,45.55
3161,777,cifar10,90.08,27.99
2942,777,cifar10,75.86,11.55
3963,888,cifar10,92.43,91.83
3685,888,cifar10,80.41,65.10
3697,777,cifar10,93.29,93.09
3847,777,cifar10,92.30,92.39
4033,888,cifar10,10.00,10.00
3509,777,cifar10,87.52,65.61
3639,999,cifar10,84.20,71.82
3825,999,cifar10,92.58,92.05
3109,777,cifar10,86.30,10.00
3890,777,cifar10,89.02,85.36
3291,777,cifar10,92.25,66.17
3341,888,cifar10,10.00,10.00
4109,888,cifar10,86.76,28.62
4290,999,cifar10,92.40,91.00
3867,888,cifar10,75.45,26.11
3320,777,cifar10,89.93,81.12
4221,777,cifar10,90.17,52.11
4279,777,cifar10,87.61,76.89
3988,888,cifar10,91.62,88.96
4053,888,cifar10,88.79,85.76
4178,888,cifar10,84.02,72.54
3443,777,cifar10,75.47,29.50
3240,777,cifar10,90.93,90.36
4142,777,cifar10,10.00,10.00
4154,777,cifar10,92.29,91.71
3856,888,cifar10,91.69,91.45
3432,888,cifar10,85.58,10.07
3252,999,cifar10,91.93,91.93
3720,777,cifar10,91.73,91.42
3901,999,cifar10,80.44,22.32
3128,999,cifar10,92.53,92.46
3083,777,cifar10,92.01,91.73
2954,888,cifar10,93.44,93.32
3466,999,cifar10,91.89,91.45
3398,777,cifar10,89.12,88.96
3421,888,cifar10,87.17,76.80
3363,777,cifar10,84.72,75.17
4210,777,cifar10,88.96,88.64
3540,888,cifar10,93.90,93.74
3139,888,cifar10,73.22,19.69
3184,888,cifar10,72.37,10.00
3973,777,cifar10,84.41,84.20
3173,777,cifar10,91.82,89.85
4335,999,cifar10,89.28,10.00
4232,888,cifar10,93.34,92.79
3604,888,cifar10,91.39,89.54
3942,888,cifar10,89.00,88.50
3878,777,cifar10,75.52,22.53
3017,777,cifar10,90.92,89.24
3374,888,cifar10,86.34,85.91
4267,777,cifar10,92.64,92.44
2901,999,cifar10,91.60,91.40
3593,999,cifar10,88.93,9.96
3409,777,cifar10,88.84,11.60
3627,777,cifar10,92.13,89.35
4325,999,cifar10,93.29,93.04
3041,777,cifar10,88.60,86.57
4255,777,cifar10,89.10,88.67
4190,888,cifar10,91.25,89.63
4244,888,cifar10,94.00,93.78
3801,777,cifar10,89.36,88.65
3813,777,cifar10,87.58,81.90
3310,888,cifar10,93.32,93.22
3551,999,cifar10,91.42,90.76
2931,999,cifar10,92.51,91.99
3836,777,cifar10,92.28,30.63
4314,888,cifar10,86.68,85.83
4011,999,cifar10,91.89,91.09
3208,999,cifar10,65.47,13.96
4065,999,cifar10,89.83,90.00
4120,777,cifar10,90.21,89.71
3068,777,cifar10,88.79,86.33
3652,888,cifar10,89.74,88.51
4200,777,cifar10,75.76,66.94
4044,888,cifar10,92.10,91.85
3954,999,cifar10,84.75,75.57
3687,777,cifar10,89.32,89.14
3730,999,cifar10,91.09,87.44
3265,999,cifar10,82.48,78.71
3708,999,cifar10,92.56,92.15
3274,888,cifar10,92.00,91.75
2911,777,cifar10,88.51,11.73
3518,888,cifar10,89.98,86.67
3229,777,cifar10,89.89,89.28
3351,888,cifar10,10.00,10.00
3909,888,cifar10,89.68,88.23
3999,888,cifar10,51.48,10.00
4132,888,cifar10,90.81,89.30
3478,777,cifar10,81.33,60.43
3614,777,cifar10,89.52,89.27
4166,777,cifar10,91.34,22.50
4076,888,cifar10,89.96,85.24
3096,777,cifar10,92.32,91.29
3921,888,cifar10,92.03,91.95
3763,777,cifar10,79.67,25.13
3674,999,cifar10,91.11,89.50
3786,888,cifar10,91.70,70.79
4034,999,cifar10,90.37,90.19
4087,777,cifar10,92.52,91.92
2942,888,cifar10,75.08,17.65
3500,888,cifar10,91.07,8.63
3489,888,cifar10,92.19,92.23
3300,777,cifar10,93.34,93.29
4221,888,cifar10,89.65,36.42
2981,777,cifar10,92.33,91.77
3639,777,cifar10,83.52,71.57
3455,888,cifar10,79.13,17.41
3291,888,cifar10,92.09,61.39
3742,777,cifar10,90.36,88.55
3530,777,cifar10,92.48,33.76
2921,999,cifar10,92.53,92.42
3119,888,cifar10,93.24,92.80
3196,888,cifar10,92.06,90.85
3561,999,cifar10,91.15,88.61
3825,777,cifar10,92.52,92.21
4302,777,cifar10,75.89,67.31
4110,777,cifar10,91.50,88.91
3890,888,cifar10,89.35,87.47
4054,999,cifar10,86.44,86.21
3847,888,cifar10,91.84,91.75
4279,888,cifar10,87.83,80.78
3161,888,cifar10,89.85,51.47
4099,777,cifar10,93.80,80.54
3720,888,cifar10,91.66,91.67
3964,999,cifar10,84.54,81.80
3509,888,cifar10,88.04,54.13
3219,777,cifar10,81.09,14.67
3029,777,cifar10,89.11,88.36
3398,888,cifar10,89.02,88.47
3385,888,cifar10,93.99,94.01
3055,888,cifar10,93.13,92.24
3943,999,cifar10,10.00,10.00
4142,888,cifar10,10.00,10.00
3332,777,cifar10,89.98,89.26
3664,777,cifar10,92.74,92.24
4179,777,cifar10,90.67,89.81
3342,777,cifar10,91.13,90.50
3572,999,cifar10,88.98,16.56
3868,777,cifar10,91.11,90.26
3150,999,cifar10,92.13,91.90
3002,777,cifar10,90.91,89.82
2968,777,cifar10,89.82,89.05
3582,999,cifar10,89.94,87.97
3901,777,cifar10,79.08,19.48
3109,888,cifar10,87.51,10.00
3443,888,cifar10,75.62,28.97
3466,777,cifar10,91.95,91.76
4290,777,cifar10,92.39,90.58
3931,777,cifar10,92.90,92.50
3751,888,cifar10,92.21,92.32
3857,999,cifar10,91.70,29.64
3017,888,cifar10,91.20,89.72
3422,777,cifar10,69.29,12.32
3973,888,cifar10,84.37,83.96
4023,777,cifar10,91.82,43.13
3240,888,cifar10,91.53,90.70
3541,999,cifar10,91.19,91.13
3989,999,cifar10,87.46,86.21
3128,777,cifar10,92.28,91.91
3320,888,cifar10,89.36,76.57
3697,888,cifar10,93.53,93.37
3041,888,cifar10,87.85,83.14
4154,888,cifar10,93.07,92.53
3363,888,cifar10,84.91,73.85
4210,888,cifar10,89.00,89.01
3208,777,cifar10,63.76,15.03
3185,999,cifar10,87.23,72.79
3140,999,cifar10,89.71,10.01
3375,777,cifar10,75.47,29.50
4255,888,cifar10,88.89,88.23
3252,777,cifar10,92.10,91.99
3687,888,cifar10,89.81,89.23
2955,777,cifar10,91.54,91.12
3813,888,cifar10,86.86,80.16
3775,777,cifar10,92.74,91.87
4335,777,cifar10,89.70,10.00
3409,888,cifar10,88.74,12.34
4200,888,cifar10,75.59,63.23
3878,888,cifar10,75.61,22.39
3801,888,cifar10,89.78,88.78
4065,777,cifar10,89.92,89.31
2901,777,cifar10,92.24,92.24
3083,888,cifar10,92.21,91.86
3605,999,cifar10,91.35,90.08
3433,777,cifar10,92.49,91.54
3954,777,cifar10,83.24,43.06
3627,888,cifar10,92.12,73.03
4045,777,cifar10,89.11,88.92
3311,777,cifar10,86.99,82.79
3593,777,cifar10,89.05,10.00
3352,999,cifar10,78.37,25.87
3229,888,cifar10,89.60,89.31
3519,999,cifar10,84.47,80.59
3173,888,cifar10,91.38,90.18
3501,777,cifar10,86.57,86.46
3910,999,cifar10,76.18,64.83
3763,888,cifar10,80.15,46.02
4120,888,cifar10,90.16,89.59
3068,888,cifar10,88.80,85.02
4233,777,cifar10,92.08,43.81
3943,777,cifar10,10.00,10.00
3708,777,cifar10,92.14,91.76
3614,888,cifar10,89.61,89.50
4246,777,cifar10,79.73,50.61
4191,999,cifar10,93.13,93.12
4034,777,cifar10,90.34,89.92
3056,999,cifar10,75.60,63.42
4054,777,cifar10,86.66,86.40
2911,888,cifar10,87.94,28.49
3478,888,cifar10,82.18,28.61
4267,888,cifar10,92.62,92.37
3836,888,cifar10,92.06,26.09
3848,999,cifar10,80.86,69.70
3639,888,cifar10,82.83,69.12
3551,777,cifar10,91.63,91.19
4325,777,cifar10,92.94,92.64
3730,777,cifar10,91.35,89.05
3674,777,cifar10,91.04,89.72
4011,777,cifar10,91.73,90.95
3825,888,cifar10,92.30,92.28
4110,888,cifar10,91.04,88.96
3265,777,cifar10,82.23,76.09
2931,777,cifar10,92.58,92.05
4315,999,cifar10,68.31,36.03
3510,999,cifar10,88.89,87.52
3653,777,cifar10,93.04,92.80
3120,999,cifar10,87.68,82.09
4077,777,cifar10,89.20,8.45
3387,777,cifar10,75.84,66.95
3292,999,cifar10,92.05,91.13
4179,888,cifar10,90.20,89.38
4302,888,cifar10,75.60,62.42
3096,888,cifar10,92.47,92.10
4087,888,cifar10,92.37,92.15
3742,888,cifar10,90.29,88.50
4000,999,cifar10,92.66,92.52
4166,888,cifar10,91.05,15.82
3901,888,cifar10,78.04,54.93
3490,777,cifar10,92.20,23.22
3208,888,cifar10,65.21,30.63
3892,777,cifar10,88.94,22.74
3964,777,cifar10,84.57,79.59
4222,777,cifar10,92.23,53.74
4155,999,cifar10,88.86,88.37
3466,888,cifar10,92.35,92.04
3276,999,cifar10,91.76,89.23
3868,888,cifar10,91.12,90.12
3922,999,cifar10,92.39,91.44
4099,888,cifar10,93.82,83.19
2921,777,cifar10,92.43,92.18
3342,888,cifar10,91.40,90.94
2943,999,cifar10,93.09,92.93
3300,888,cifar10,93.20,92.95
3561,777,cifar10,90.86,89.96
3029,888,cifar10,88.18,87.80
4280,777,cifar10,91.78,91.14
3162,999,cifar10,92.82,63.34
3422,888,cifar10,69.87,10.06
2981,888,cifar10,92.44,91.39
3787,999,cifar10,93.36,93.18
3198,999,cifar10,92.85,92.67
4133,777,cifar10,93.34,92.92
3399,777,cifar10,92.97,92.49
3857,777,cifar10,92.06,24.61
4143,777,cifar10,92.78,92.18
3332,888,cifar10,90.51,89.47
3219,888,cifar10,82.71,23.54
3541,777,cifar10,91.16,91.28
3110,777,cifar10,89.51,87.17
3456,777,cifar10,94.08,93.92
4065,888,cifar10,89.78,89.47
2968,888,cifar10,89.74,89.16
4256,777,cifar10,90.11,88.82
3128,888,cifar10,92.09,91.85
4290,888,cifar10,92.31,91.08
3364,777,cifar10,84.98,39.03
3321,777,cifar10,91.81,91.66
3375,888,cifar10,75.77,26.81
3002,888,cifar10,90.67,89.10
3721,777,cifar10,92.51,91.48
3943,888,cifar10,10.00,10.00
3530,888,cifar10,92.45,32.18
3753,777,cifar10,89.97,86.00
3582,777,cifar10,90.48,87.73
3444,777,cifar10,90.45,88.93
3954,888,cifar10,84.95,65.02
3185,777,cifar10,87.35,65.04
3042,777,cifar10,76.65,25.10
3814,777,cifar10,86.87,23.13
3085,777,cifar10,68.54,14.30
3150,777,cifar10,92.01,91.87
3698,777,cifar10,86.92,48.32
3140,777,cifar10,89.28,24.97
3664,888,cifar10,92.72,92.61
3056,777,cifar10,75.78,61.91
3989,777,cifar10,87.66,83.35
3501,888,cifar10,86.64,86.26
4347,999,cifar10,89.02,10.02
4045,888,cifar10,88.93,88.68
4335,888,cifar10,89.43,19.37
3352,777,cifar10,78.83,20.35
2955,888,cifar10,91.40,90.85
3572,777,cifar10,88.96,11.30
3519,777,cifar10,84.74,81.49
3252,888,cifar10,92.04,91.93
3241,999,cifar10,87.50,15.80
3410,777,cifar10,82.29,15.91
3931,888,cifar10,93.30,92.92
4201,777,cifar10,92.93,92.95
2901,888,cifar10,92.18,91.64
3764,777,cifar10,88.89,86.44
4054,888,cifar10,86.66,86.32
3974,999,cifar10,89.90,41.68
3688,777,cifar10,92.17,91.77
3910,777,cifar10,76.34,59.21
3628,999,cifar10,92.63,92.35
3848,777,cifar10,80.60,69.35
3311,888,cifar10,87.03,83.72
3802,777,cifar10,91.97,91.98
4034,888,cifar10,90.10,89.68
3879,777,cifar10,91.08,89.37
3615,999,cifar10,91.99,27.45
4023,888,cifar10,92.25,52.06
3605,777,cifar10,91.73,90.42
3230,999,cifar10,90.99,91.00
3593,888,cifar10,88.44,11.10
2912,999,cifar10,93.30,93.04
4212,777,cifar10,93.43,93.24
3708,888,cifar10,92.31,92.04
3069,777,cifar10,91.56,90.94
3479,777,cifar10,90.08,88.53
4121,777,cifar10,92.04,91.09
3674,888,cifar10,91.16,88.79
3433,888,cifar10,92.73,91.72
3743,777,cifar10,81.20,76.10
3510,777,cifar10,88.45,87.36
4155,777,cifar10,88.63,88.29
4100,777,cifar10,86.84,86.64
3387,888,cifar10,75.12,64.01
3640,999,cifar10,92.56,92.07
4111,777,cifar10,91.82,91.69
4303,999,cifar10,70.00,16.42
3775,888,cifar10,92.35,91.11
3174,999,cifar10,92.90,92.69
3120,777,cifar10,86.24,82.96
4246,888,cifar10,79.38,32.91
3837,777,cifar10,72.46,17.28
4191,777,cifar10,93.18,93.02
3730,888,cifar10,91.05,89.48
3902,999,cifar10,91.95,91.77
4359,999,cifar10,89.59,89.17
3209,999,cifar10,92.35,91.78
3292,777,cifar10,92.05,91.13
3551,888,cifar10,91.40,90.94
4011,888,cifar10,91.99,91.28
4233,888,cifar10,92.24,31.44
3423,777,cifar10,71.42,13.10
3265,888,cifar10,82.60,76.21
3220,999,cifar10,80.16,51.09
3826,777,cifar10,90.85,89.77
3056,888,cifar10,75.58,63.80
4077,888,cifar10,89.08,9.54
4268,777,cifar10,92.06,91.16
4325,888,cifar10,92.97,92.77
3343,999,cifar10,91.88,91.82
4180,777,cifar10,92.45,92.48
3964,888,cifar10,84.93,81.64
3944,999,cifar10,85.03,81.23
4315,777,cifar10,68.94,38.17
4088,777,cifar10,92.19,92.06
2931,888,cifar10,92.20,91.87
3892,888,cifar10,88.98,32.23
3857,888,cifar10,91.70,31.94
3653,888,cifar10,93.20,93.05
3869,777,cifar10,92.18,91.92
3333,777,cifar10,91.85,17.19
3490,888,cifar10,92.15,12.54
3541,888,cifar10,91.34,91.02
4370,999,cifar10,91.87,20.50
4167,777,cifar10,92.63,92.58
3665,777,cifar10,86.84,86.64
4222,888,cifar10,92.16,13.55
4256,888,cifar10,90.14,88.30
2956,777,cifar10,88.68,87.04
3162,777,cifar10,93.28,51.69
4280,888,cifar10,91.27,91.02
4293,999,cifar10,75.54,69.37
2921,888,cifar10,92.58,92.26
4066,777,cifar10,91.16,89.35
3364,888,cifar10,84.63,16.75
4055,999,cifar10,79.07,35.40
3561,888,cifar10,91.51,89.79
3085,888,cifar10,68.01,18.91
3531,999,cifar10,78.95,15.06
3352,888,cifar10,77.06,22.36
3097,777,cifar10,92.14,92.12
3321,888,cifar10,91.98,91.95
3399,888,cifar10,93.21,92.97
4000,777,cifar10,92.55,92.39
3467,777,cifar10,93.60,89.12
4143,888,cifar10,92.67,92.27
3110,888,cifar10,89.37,84.43
2943,777,cifar10,93.31,93.15
3922,777,cifar10,92.45,91.70
3301,777,cifar10,89.59,87.37
3848,888,cifar10,81.16,64.88
4035,777,cifar10,89.32,89.14
4025,777,cifar10,89.12,88.96
3253,999,cifar10,74.93,27.64
3129,999,cifar10,92.18,91.99
3198,777,cifar10,92.21,92.20
3519,888,cifar10,85.18,78.65
3814,888,cifar10,86.86,45.79
3185,888,cifar10,87.06,65.96
3764,888,cifar10,89.23,86.67
3787,777,cifar10,93.48,93.30
2902,999,cifar10,91.19,89.71
3502,777,cifar10,89.02,85.76
3140,888,cifar10,89.74,12.27
3042,888,cifar10,75.28,23.35
3276,777,cifar10,91.79,89.37
3698,888,cifar10,86.19,41.41
3910,888,cifar10,75.15,59.74
4382,999,cifar10,90.15,88.48
3753,888,cifar10,90.29,85.26
4336,999,cifar10,90.99,89.10
3615,777,cifar10,92.28,44.48
3955,999,cifar10,88.64,87.61
3989,888,cifar10,87.21,83.98
4395,999,cifar10,92.73,92.65
4046,777,cifar10,92.96,92.75
3628,777,cifar10,92.13,91.66
4155,888,cifar10,89.05,88.67
3444,888,cifar10,90.06,88.68
4201,888,cifar10,92.91,92.87
3743,888,cifar10,80.13,71.01
3410,888,cifar10,83.08,15.31
4100,888,cifar10,86.58,86.30
4133,888,cifar10,93.00,92.82
3582,888,cifar10,90.14,88.60
3377,777,cifar10,91.36,91.07
3456,888,cifar10,94.13,94.03
4347,777,cifar10,88.67,10.20
3932,999,cifar10,92.00,90.96
2912,777,cifar10,93.22,92.99
3721,888,cifar10,92.31,91.54
3150,888,cifar10,91.97,91.81
3802,888,cifar10,92.11,91.91
3688,888,cifar10,91.91,90.68
3879,888,cifar10,90.84,89.36
3510,888,cifar10,89.17,88.27
3241,777,cifar10,86.74,45.39
3312,777,cifar10,92.11,91.09
3230,777,cifar10,91.02,90.83
3479,888,cifar10,90.14,88.48
4359,777,cifar10,89.32,89.14
3605,888,cifar10,91.30,90.35
4303,777,cifar10,70.28,22.69
4078,999,cifar10,89.29,89.12
3594,999,cifar10,83.97,78.16
3069,888,cifar10,90.87,90.90
3974,777,cifar10,90.44,35.11
3220,777,cifar10,79.73,39.33
3676,777,cifar10,87.52,55.75
3902,777,cifar10,92.24,91.96
4121,888,cifar10,91.03,89.47
3776,777,cifar10,90.75,90.39
4111,888,cifar10,92.23,92.10
3388,777,cifar10,84.58,80.43
3572,888,cifar10,89.48,20.90
3423,888,cifar10,71.27,10.00
3542,999,cifar10,10.00,10.00
3120,888,cifar10,86.75,82.95
3209,777,cifar10,92.41,91.94
3640,777,cifar10,92.59,92.37
3944,777,cifar10,84.90,81.08
3965,999,cifar10,92.23,92.03
2956,888,cifar10,88.76,88.24
4055,777,cifar10,78.70,13.73
3292,888,cifar10,91.70,90.53
3665,888,cifar10,86.45,86.32
4326,999,cifar10,86.50,18.81
3492,999,cifar10,89.25,85.81
3837,888,cifar10,73.96,19.26
3266,999,cifar10,91.87,91.29
3343,777,cifar10,91.81,91.54
4012,999,cifar10,87.01,10.00
4405,999,cifar10,89.81,89.31
4191,888,cifar10,93.28,93.39
4025,888,cifar10,88.85,88.24
4212,888,cifar10,93.48,92.78
3521,999,cifar10,86.33,35.62
3710,777,cifar10,92.70,52.19
3322,777,cifar10,86.59,84.41
3174,777,cifar10,93.00,93.07
4035,888,cifar10,89.59,88.98
3333,888,cifar10,92.17,51.77
4257,777,cifar10,87.31,10.00
3858,999,cifar10,93.37,93.29
3893,999,cifar10,86.66,75.50
3562,999,cifar10,92.72,92.53
4234,777,cifar10,92.01,91.76
3434,999,cifar10,92.81,91.83
3826,888,cifar10,91.40,89.41
4293,777,cifar10,75.75,65.62
4180,888,cifar10,92.29,92.14
4066,888,cifar10,90.92,88.47
3531,777,cifar10,79.49,15.18
3186,999,cifar10,89.13,88.52
4247,777,cifar10,91.56,90.16
3253,777,cifar10,72.84,21.69
3869,888,cifar10,91.70,91.21
2932,999,cifar10,89.49,88.66
4088,888,cifar10,91.91,91.80
4144,777,cifar10,86.24,81.29
3731,999,cifar10,94.13,94.06
3911,999,cifar10,70.34,25.32
4370,777,cifar10,92.12,16.55
2902,777,cifar10,91.50,88.94
4223,777,cifar10,88.87,86.89
3400,999,cifar10,89.87,88.07
2922,999,cifar10,75.68,10.75
3162,888,cifar10,93.22,73.21
3552,999,cifar10,91.39,90.29
3615,888,cifar10,91.97,35.93
4101,777,cifar10,71.38,10.00
4167,888,cifar10,92.21,91.90
4315,888,cifar10,67.98,40.75
4268,888,cifar10,91.95,90.98
3583,999,cifar10,87.10,79.45
3654,777,cifar10,92.59,92.25
3366,777,cifar10,91.53,12.12
3502,888,cifar10,89.17,83.51
3129,777,cifar10,92.63,92.49
3699,777,cifar10,89.41,87.31
4078,777,cifar10,89.44,88.64
3511,999,cifar10,91.89,91.69
3142,999,cifar10,84.49,49.39
4336,777,cifar10,91.16,89.11
3606,999,cifar10,81.37,35.96
4281,777,cifar10,93.40,81.69
4420,999,cifar10,91.28,89.93
3447,777,cifar10,92.51,92.25
4359,888,cifar10,89.32,89.20
3097,888,cifar10,92.37,91.75
3467,888,cifar10,93.10,84.96
3628,888,cifar10,92.40,92.36
2943,888,cifar10,92.72,92.59
3301,888,cifar10,88.86,86.54
3198,888,cifar10,92.64,92.29
3815,777,cifar10,91.36,90.78
4431,999,cifar10,91.90,91.72
3542,777,cifar10,10.00,10.00
3922,888,cifar10,92.41,91.57
4000,888,cifar10,92.36,91.88
3955,777,cifar10,89.23,88.59
2912,888,cifar10,93.22,93.15
3220,888,cifar10,80.50,55.73
4382,777,cifar10,90.09,87.49
3411,777,cifar10,87.53,82.32
4303,888,cifar10,71.10,12.29
4046,888,cifar10,93.07,93.06
3787,888,cifar10,93.27,93.12
3765,777,cifar10,92.04,91.32
4395,777,cifar10,92.68,92.26
4444,999,cifar10,91.77,45.36
3353,777,cifar10,88.34,86.11
3151,999,cifar10,90.28,90.12
3457,777,cifar10,90.65,89.87
3944,888,cifar10,84.76,81.46
4202,777,cifar10,92.77,92.30
3722,999,cifar10,90.37,88.71
3902,888,cifar10,91.85,91.16
4055,888,cifar10,78.47,13.08
3689,777,cifar10,89.40,11.63
3881,777,cifar10,92.30,92.27
4112,777,cifar10,89.74,89.43
4134,777,cifar10,91.43,91.20
3230,888,cifar10,90.95,90.58
4156,777,cifar10,92.23,91.95
3276,888,cifar10,91.46,88.33
3932,777,cifar10,91.70,91.43
4347,888,cifar10,88.61,10.00
3744,777,cifar10,91.25,90.98
3776,888,cifar10,90.44,90.05
3209,888,cifar10,91.94,91.35
3480,777,cifar10,86.01,83.52
3849,777,cifar10,93.18,92.88
3312,888,cifar10,92.55,92.49
3377,888,cifar10,91.32,90.92
3965,777,cifar10,91.67,91.59
3521,777,cifar10,86.50,15.74
3388,888,cifar10,85.08,79.07
3573,999,cifar10,88.04,78.39
3594,777,cifar10,84.39,78.58
4036,999,cifar10,88.84,85.30
3676,888,cifar10,86.87,73.38
3666,777,cifar10,86.93,76.25
3990,999,cifar10,93.41,93.43
3492,777,cifar10,88.78,86.11
3241,888,cifar10,86.98,21.05
4122,777,cifar10,91.10,89.75
3322,888,cifar10,86.04,83.62
4326,777,cifar10,86.45,15.07
3640,888,cifar10,92.53,92.57
3754,777,cifar10,92.54,92.29
3186,777,cifar10,88.72,88.51
3343,888,cifar10,91.80,91.57
3974,888,cifar10,90.35,29.96
4257,888,cifar10,87.56,10.00
4405,777,cifar10,88.98,88.43
3803,777,cifar10,93.46,93.28
3562,777,cifar10,92.29,92.19
3293,999,cifar10,90.39,84.68
3121,999,cifar10,92.81,92.26
3266,777,cifar10,91.98,91.84
3911,777,cifar10,70.21,16.16
4026,777,cifar10,84.76,59.85
3253,888,cifar10,73.42,14.60
3334,777,cifar10,90.83,90.91
4270,999,cifar10,79.34,41.64
3163,999,cifar10,75.57,56.33
3424,777,cifar10,93.29,93.16
4457,777,cifar10,91.87,71.40
4316,999,cifar10,88.56,88.05
3838,777,cifar10,89.66,86.63
4293,888,cifar10,76.02,68.06
4067,777,cifar10,92.27,59.93
3858,777,cifar10,93.16,92.82
4012,777,cifar10,87.11,25.58
4089,999,cifar10,77.40,24.98
3531,888,cifar10,79.60,37.00
4101,888,cifar10,79.46,25.27
4078,888,cifar10,89.85,89.22
2902,888,cifar10,91.27,89.44
4470,777,cifar10,90.80,90.73
3893,777,cifar10,87.84,56.13
4213,777,cifar10,89.13,10.75
4144,888,cifar10,86.34,80.76
3870,777,cifar10,75.47,29.50
3616,999,cifar10,80.06,11.81
3583,777,cifar10,86.52,81.12
4360,999,cifar10,86.34,83.41
3400,777,cifar10,88.74,84.70
3542,888,cifar10,10.00,10.00
3511,777,cifar10,92.05,91.91
3606,777,cifar10,80.97,73.04
2932,777,cifar10,89.79,88.44
4370,888,cifar10,91.95,22.24
4234,888,cifar10,91.56,91.32
4182,777,cifar10,92.62,92.27
4223,888,cifar10,89.57,88.64
3174,888,cifar10,93.01,92.87
2922,777,cifar10,76.24,12.06
3827,777,cifar10,89.82,87.69
4192,777,cifar10,92.63,91.12
3129,888,cifar10,92.72,92.63
3231,999,cifar10,78.23,31.24
3699,888,cifar10,89.12,85.45
3710,888,cifar10,92.68,52.24
3447,888,cifar10,92.02,91.64
2913,999,cifar10,52.38,10.00
3789,777,cifar10,82.63,79.19
3199,999,cifar10,88.70,84.92
4247,888,cifar10,91.65,89.40
3629,999,cifar10,81.04,76.18
3221,999,cifar10,68.15,48.12
4336,888,cifar10,90.92,89.52
3142,777,cifar10,84.73,27.47
4168,777,cifar10,90.97,90.63
3434,777,cifar10,92.90,92.27
3521,888,cifar10,86.85,26.86
3366,888,cifar10,91.79,91.46
3731,777,cifar10,94.48,94.35
3923,999,cifar10,91.26,89.55
4036,777,cifar10,89.25,85.36
3302,777,cifar10,89.99,48.94
3552,777,cifar10,91.39,90.09
4112,888,cifar10,89.71,88.75
3411,888,cifar10,87.78,80.90
3654,888,cifar10,91.99,91.64
3777,999,cifar10,85.50,49.91
3210,999,cifar10,75.57,55.51
3503,777,cifar10,92.29,92.19
3641,999,cifar10,82.50,76.60
3151,777,cifar10,91.37,91.02
4001,999,cifar10,81.14,66.02
3098,777,cifar10,92.52,91.72
3955,888,cifar10,88.71,88.57
3965,888,cifar10,91.69,91.52
3689,888,cifar10,89.06,10.08
3468,777,cifar10,90.04,23.16
3323,777,cifar10,75.86,11.55
3881,888,cifar10,92.02,92.02
3722,777,cifar10,90.68,88.02
3815,888,cifar10,91.29,90.68
3457,888,cifar10,90.85,90.07
3492,888,cifar10,88.91,83.72
4382,888,cifar10,90.37,87.67
3666,888,cifar10,85.94,73.90
4270,777,cifar10,79.44,44.71
4420,777,cifar10,90.98,89.96
2944,999,cifar10,93.05,75.93
3945,999,cifar10,88.66,88.01
4281,888,cifar10,93.23,83.49
4395,888,cifar10,92.80,92.63
4431,777,cifar10,92.25,92.16
4348,999,cifar10,80.90,67.72
3186,888,cifar10,88.36,87.95
3573,777,cifar10,88.62,80.80
4202,888,cifar10,92.62,92.41
3242,999,cifar10,87.83,83.43
4444,777,cifar10,91.93,29.24
4316,777,cifar10,88.84,88.52
4304,999,cifar10,88.87,12.74
4047,777,cifar10,92.06,91.65
4326,888,cifar10,86.55,22.85
3911,888,cifar10,70.22,14.01
3163,777,cifar10,75.29,56.80
3313,777,cifar10,80.90,10.90
3480,888,cifar10,87.35,86.13
3277,999,cifar10,92.72,92.62
3932,888,cifar10,92.00,91.65
3765,888,cifar10,91.68,90.93
3594,888,cifar10,84.71,80.72
3562,888,cifar10,92.37,92.13
4134,888,cifar10,90.84,90.63
3378,777,cifar10,91.12,89.64
4156,888,cifar10,91.66,91.62
4146,999,cifar10,87.88,79.42
3677,777,cifar10,92.58,91.61
4405,888,cifar10,89.41,88.03
4360,777,cifar10,86.44,83.89
3744,888,cifar10,90.80,86.81
3903,999,cifar10,91.73,91.27
3389,777,cifar10,92.51,92.24
3334,888,cifar10,90.82,91.15
4067,888,cifar10,91.98,65.26
4056,777,cifar10,92.08,91.32
4122,888,cifar10,90.62,89.33
4294,999,cifar10,90.22,88.79
3353,888,cifar10,88.38,84.60
3583,888,cifar10,87.42,85.33
4089,777,cifar10,78.14,17.29
4026,888,cifar10,84.63,49.30
3606,888,cifar10,79.58,45.35
3511,888,cifar10,92.02,92.11
3616,777,cifar10,80.26,19.15
3266,888,cifar10,91.74,90.92
3344,777,cifar10,92.42,92.34
3293,777,cifar10,90.77,80.19
3870,888,cifar10,75.38,16.28
3858,888,cifar10,93.10,93.05
3255,999,cifar10,93.76,93.64
3231,777,cifar10,79.25,23.40
4079,777,cifar10,92.42,92.31
4480,777,cifar10,71.04,14.56
3893,888,cifar10,87.67,74.16
3975,999,cifar10,92.66,92.55
3838,888,cifar10,89.76,84.06
3121,777,cifar10,93.50,92.88
4012,888,cifar10,86.93,17.30
4213,888,cifar10,88.55,21.39
3400,888,cifar10,89.34,86.53
3990,777,cifar10,93.59,93.75
4224,777,cifar10,82.62,77.18
3543,999,cifar10,91.27,89.45
3849,888,cifar10,93.57,93.30
