931,999,cifar10,58.62,12.31
1296,999,cifar10,74.01,30.33
1184,999,cifar10,70.27,17.46
1308,999,cifar10,80.38,53.89
1206,999,cifar10,87.30,83.81
113,999,cifar10,87.39,83.33
842,999,cifar10,92.01,91.79
390,999,cifar10,75.26,64.19
620,999,cifar10,75.55,58.27
0,999,cifar10,85.81,71.70
291,999,cifar10,90.43,89.52
313,999,cifar10,76.14,64.84
665,999,cifar10,91.91,91.52
280,999,cifar10,79.59,20.44
830,999,cifar10,80.94,27.97
529,999,cifar10,89.59,54.91
1266,999,cifar10,79.91,21.63
1116,999,cifar10,75.62,15.50
124,999,cifar10,92.27,92.26
687,999,cifar10,86.27,71.82
205,999,cifar10,92.17,92.05
956,999,cifar10,88.96,88.89
797,999,cifar10,93.68,93.61
44,999,cifar10,79.90,70.00
481,999,cifar10,86.60,72.07
564,999,cifar10,87.49,78.97
1220,999,cifar10,91.79,91.73
421,999,cifar10,90.60,90.54
195,999,cifar10,89.89,89.47
1276,999,cifar10,80.26,56.21
1230,999,cifar10,79.26,64.90
88,999,cifar10,88.50,9.92
675,999,cifar10,67.62,10.17
876,999,cifar10,80.19,59.84
492,999,cifar10,92.07,91.87
1334,999,cifar10,88.97,84.51
786,999,cifar10,88.28,73.45
864,999,cifar10,86.84,84.09
763,777,cifar10,75.86,11.55
1411,999,cifar10,80.46,35.45
1095,999,cifar10,89.72,88.27
218,999,cifar10,91.24,91.32
259,999,cifar10,88.60,85.10
1355,999,cifar10,87.16,46.68
899,999,cifar10,75.45,66.36
909,999,cifar10,89.64,87.23
633,999,cifar10,86.89,10.32
1401,999,cifar10,85.64,79.74
302,999,cifar10,83.24,34.40
552,999,cifar10,10.00,10.00
457,999,cifar10,87.51,76.74
357,999,cifar10,86.96,68.39
134,999,cifar10,89.99,88.91
1022,999,cifar10,90.90,90.70
597,999,cifar10,91.37,90.71
1378,999,cifar10,91.20,91.06
379,777,cifar10,87.41,84.56
346,999,cifar10,88.92,88.38
400,999,cifar10,92.34,92.05
324,999,cifar10,82.93,12.67
576,999,cifar10,88.28,84.50
1366,999,cifar10,91.86,91.74
504,999,cifar10,90.35,88.03
1322,999,cifar10,92.37,92.10
1073,999,cifar10,92.39,92.35
446,999,cifar10,93.11,92.83
989,999,cifar10,85.78,60.17
31,999,cifar10,90.83,88.57
1059,999,cifar10,93.53,93.20
228,999,cifar10,92.69,92.07
819,999,cifar10,91.17,90.68
999,999,cifar10,91.40,89.88
1137,999,cifar10,89.87,87.52
644,999,cifar10,91.90,91.44
1159,999,cifar10,87.11,59.69
752,777,cifar10,92.12,51.73
698,777,cifar10,92.51,92.05
1241,999,cifar10,88.71,10.01
541,999,cifar10,93.86,93.83
967,999,cifar10,88.69,10.85
270,999,cifar10,88.67,85.38
774,777,cifar10,91.50,90.14
434,999,cifar10,86.62,69.93
979,999,cifar10,90.97,90.69
921,999,cifar10,92.87,92.66
169,999,cifar10,88.77,84.86
56,999,cifar10,93.48,93.13
336,999,cifar10,90.79,89.23
1286,999,cifar10,88.50,86.01
20,999,cifar10,90.18,77.98
516,999,cifar10,86.62,66.11
1427,999,cifar10,91.80,90.38
1105,999,cifar10,93.29,93.02
249,999,cifar10,92.10,91.96
77,999,cifar10,93.23,93.05
1084,999,cifar10,93.27,93.21
369,777,cifar10,90.97,89.72
469,999,cifar10,91.59,90.11
889,999,cifar10,91.12,89.98
943,999,cifar10,86.52,10.00
100,999,cifar10,92.17,91.45
1254,999,cifar10,91.20,90.19
1345,999,cifar10,92.11,90.51
1046,999,cifar10,93.29,93.08
1010,999,cifar10,92.76,92.70
708,777,cifar10,93.39,93.19
184,999,cifar10,91.05,90.67
931,777,cifar10,63.39,10.03
10,999,cifar10,10.00,10.00
1126,999,cifar10,91.20,89.85
1389,999,cifar10,90.63,88.14
1296,777,cifar10,72.52,27.50
1034,999,cifar10,92.26,92.28
158,999,cifar10,92.69,92.12
720,777,cifar10,92.13,24.57
609,999,cifar10,93.25,93.17
238,999,cifar10,92.41,91.89
586,999,cifar10,92.45,92.32
67,999,cifar10,93.25,93.18
147,999,cifar10,92.95,92.76
411,999,cifar10,93.18,92.86
852,999,cifar10,93.72,93.45
655,999,cifar10,93.81,93.58
1173,999,cifar10,93.06,92.46
808,999,cifar10,92.17,91.96
1149,999,cifar10,93.11,92.79
732,777,cifar10,93.26,92.95
1195,999,cifar10,92.97,93.05
1308,777,cifar10,79.80,50.71
1184,777,cifar10,70.48,11.73
1206,777,cifar10,87.16,79.69
113,777,cifar10,87.51,82.73
842,777,cifar10,91.31,91.14
