,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seed,idx,dataset
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0,999,0,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0,999,0,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0,777,0,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0,777,0,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0,888,0,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0,999,0,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0,777,0,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0,888,0,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,319108.0,256.0,1085292.0,1165443.0,999,0,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,1068868.0,256.0,1835052.0,1915203.0,777,2700,cifar10
